0,56,63,114,119,136,173,173,159,51,63,91,140,130,176
56,0,47,84,90,123,160,160,171,74,42,94,93,98,176
63,47,0,61,84,99,160,171,117,108,42,134,172,168,179
114,84,61,0,38,47,82,82,104,61,72,43,121,118,125
119,90,84,38,0,39,46,46,100,88,75,31,77,52,98
136,123,99,47,39,0,46,46,48,112,126,52,46,44,0
173,160,160,82,46,46,0,2,84,145,145,75,51,64,84
173,160,171,82,46,46,2,0,84,145,145,75,51,64,84
159,171,117,104,100,48,84,84,0,87,89,67,49,50,40
51,74,108,61,88,112,145,145,87,0,40,64,131,137,126
63,42,42,72,75,126,145,145,89,40,0,61,122,117,140
91,94,134,43,31,52,75,75,67,64,61,0,76,76,92
140,93,172,121,77,46,51,51,49,131,122,76,0,3,60
130,98,168,118,52,44,64,64,50,137,117,76,3,0,56
176,176,179,125,98,0,84,84,40,126,140,92,60,56,0
